id_realizacao;tipo_dia;penetracao_pct;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;razao_bess_pv
1;ceu_aberto;0,0;0;0;0;0;0
2;parcialmente_nublado;0,0;0;0;0;0;0
3;nublado;0,0;0;0;0;0;0
4;parcialmente_nublado;0,0;0;0;0;0;0
5;parcialmente_nublado;0,0;0;0;0;0;0
6;ceu_aberto;0,0;0;0;0;0;0
7;parcialmente_nublado;0,0;0;0;0;0;0
8;parcialmente_nublado;0,0;0;0;0;0;0
9;nublado;0,0;0;0;0;0;0
10;ceu_aberto;0,0;0;0;0;0;0
11;ceu_aberto;0,0;0;0;0;0;0
12;ceu_aberto;0,0;0;0;0;0;0
13;nublado;0,0;0;0;0;0;0
14;parcialmente_nublado;0,0;0;0;0;0;0
15;ceu_aberto;0,0;0;0;0;0;0
16;nublado;0,0;0;0;0;0;0
17;parcialmente_nublado;0,0;0;0;0;0;0
18;ceu_aberto;0,0;0;0;0;0;0
19;ceu_aberto;0,0;0;0;0;0;0
20;parcialmente_nublado;0,0;0;0;0;0;0
21;ceu_aberto;0,0;0;0;0;0;0
22;parcialmente_nublado;0,0;0;0;0;0;0
23;ceu_aberto;0,0;0;0;0;0;0
24;ceu_aberto;0,0;0;0;0;0;0
25;nublado;0,0;0;0;0;0;0
26;parcialmente_nublado;0,0;0;0;0;0;0
27;ceu_aberto;0,0;0;0;0;0;0
28;ceu_aberto;0,0;0;0;0;0;0
29;ceu_aberto;0,0;0;0;0;0;0
30;ceu_aberto;0,0;0;0;0;0;0
31;parcialmente_nublado;0,0;0;0;0;0;0
32;ceu_aberto;0,0;0;0;0;0;0
33;ceu_aberto;0,0;0;0;0;0;0
34;nublado;0,0;0;0;0;0;0
35;nublado;0,0;0;0;0;0;0
36;parcialmente_nublado;0,0;0;0;0;0;0
37;parcialmente_nublado;0,0;0;0;0;0;0
38;parcialmente_nublado;0,0;0;0;0;0;0
39;ceu_aberto;0,0;0;0;0;0;0
40;parcialmente_nublado;0,0;0;0;0;0;0
41;ceu_aberto;0,0;0;0;0;0;0
42;parcialmente_nublado;0,0;0;0;0;0;0
43;parcialmente_nublado;0,0;0;0;0;0;0
44;parcialmente_nublado;0,0;0;0;0;0;0
45;parcialmente_nublado;0,0;0;0;0;0;0
46;ceu_aberto;0,0;0;0;0;0;0
47;nublado;0,0;0;0;0;0;0
48;ceu_aberto;0,0;0;0;0;0;0
49;parcialmente_nublado;0,0;0;0;0;0;0
50;parcialmente_nublado;0,0;0;0;0;0;0
